SIMPLE,500_0_0,19811174873,2671375185
SIMPLE,500_1_100,27829482867,2645107620
SIMPLE,500_3_100,32815938335,2661386984
SIMPLE,500_5_100,38006728982,2653564897
SIMPLE,500_10_100,50488678902,2643656561
SIMPLE,500_25_100,84069237460,2614078213
SIMPLE,500_50_100,127129882119,2540510725
SIMPLE,500_100_100,191809535918,2425826569
TAIL,500_0_0,6985031845,2525802781
TAIL,500_1_100,29871786872,2551825405
TAIL,500_3_100,34701336539,2540956320
TAIL,500_5_100,39916582689,2551857841
TAIL,500_10_100,51919539239,2520095542
TAIL,500_25_100,83862606944,2473263780
TAIL,500_50_100,127132283934,2425688627
TAIL,500_100_100,186925749935,2283988970
LIL,500_0_0,7205481672,2551990879
LIL,500_1_100,15050449110,2536937920
LIL,500_3_100,21735120449,2552160209
LIL,500_5_100,27964990497,2562862598
LIL,500_10_100,41502867450,2537540376
LIL,500_25_100,78815134179,2513590036
LIL,500_50_100,125225312004,2441404596
LIL,500_100_100,185990147496,2296780487
QUIT,500_0_0,5672022711,2322114448
QUIT,500_1_100,15299334650,2460145837
QUIT,500_3_100,22024581967,2433780523
QUIT,500_5_100,28105414091,2440387731
QUIT,500_10_100,41025882722,2408879364
QUIT,500_25_100,77310475469,2423957536
QUIT,500_50_100,122150646619,2375655639
QUIT,500_100_100,186566856183,2300144655
BPTREE,500_0_0,122638740396,3350624332
BPTREE,500_1_100,131727856697,3426686615
BPTREE,500_3_100,136846486403,3465274456
BPTREE,500_5_100,141877204065,3464418836
BPTREE,500_10_100,155867595615,3515137752
BPTREE,500_25_100,196213080158,3576326819
BPTREE,500_50_100,253260676560,3519846176
BPTREE,500_100_100,342447531612,3609330480
