TAIL, 1, 450_0_0, 0, 15975674670, , , , , , , , , , , 0, 448235296, 1764704, 0, 1764704, 2
TAIL, 1, 50_0_0, 450000000, 1772803625, , , , , , , , , , , 0, 49803921, 196079, 0, 196079, 0
TAIL, 1, 450_1_100, 0, 38553121646, , , , , , , , , , , 0, 29712, 115, 449970173, 1751108, 2
TAIL, 1, 50_1_100, 450000000, 4417230170, , , , , , , , , , , 0, 26148, 103, 49973749, 193029, 0
TAIL, 1, 450_5_100, 0, 44405593866, , , , , , , , , , , 0, 9734, 37, 449990229, 1697620, 2
TAIL, 1, 50_5_100, 450000000, 5330802113, , , , , , , , , , , 0, 4866, 19, 49995115, 183613, 0
TAIL, 1, 450_25_100, 0, 82660599685, , , , , , , , , , , 0, 6011, 22, 449993967, 1487770, 2
TAIL, 1, 50_25_100, 450000000, 10206733376, , , , , , , , , , , 0, 938, 4, 49999058, 152762, 0
TAIL, 1, 450_100_100, 0, 191351538722, , , , , , , , , , , 0, 5558, 20, 449994422, 1297413, 2
TAIL, 1, 50_100_100, 450000000, 23029022686, , , , , , , , , , , 0, 154, 1, 49999845, 115614, 0
TAIL, 2, 450_0_0, 0, 23058219456, , , , , , , , , , , 0, 447959122, 1763617, 277261, 1763617, 2
TAIL, 2, 50_0_0, 450000000, 2566765359, , , , , , , , , , , 0, 49774790, 195964, 29246, 195964, 0
TAIL, 2, 450_1_100, 0, 37636552925, , , , , , , , , , , 0, 29712, 115, 449970173, 3417372, 2
TAIL, 2, 50_1_100, 450000000, 4269693394, , , , , , , , , , , 0, 26147, 103, 49973750, 374745, 0
TAIL, 2, 450_5_100, 0, 40627164280, , , , , , , , , , , 0, 9734, 37, 449990229, 3032365, 2
TAIL, 2, 50_5_100, 450000000, 4673378679, , , , , , , , , , , 0, 4866, 19, 49995115, 323576, 0
TAIL, 2, 450_25_100, 0, 56306351153, , , , , , , , , , , 0, 6011, 22, 449993967, 1988869, 2
TAIL, 2, 50_25_100, 450000000, 6767931762, , , , , , , , , , , 0, 938, 4, 49999058, 204890, 0
TAIL, 2, 450_100_100, 0, 114897593887, , , , , , , , , , , 0, 5558, 20, 449994422, 1324849, 2
TAIL, 2, 50_100_100, 450000000, 13796811021, , , , , , , , , , , 0, 154, 1, 49999845, 117967, 0
TAIL, 4, 450_0_0, 0, 175004243941, , , , , , , , , , , 0, 448234686, 1764702, 612, 1764702, 2
TAIL, 4, 50_0_0, 450000000, 18748917949, , , , , , , , , , , 0, 49803842, 196078, 80, 196078, 0
TAIL, 4, 450_1_100, 0, 121438925898, , , , , , , , , , , 0, 29712, 115, 449970173, 6906399, 2
TAIL, 4, 50_1_100, 450000000, 13758496374, , , , , , , , , , , 0, 26148, 103, 49973749, 762062, 0
TAIL, 4, 450_5_100, 0, 117738265308, , , , , , , , , , , 0, 9734, 37, 449990229, 6401295, 2
